id,name,price,onSale,color,material,condition,occasion,brand,manufacturer,hasHeels,countryOfOrigin
AVpe__eOilAPnD_xSt-H,Handcrafted Alpaca Blend 'Purple Charisma'  (Peru),62.99,FALSE,Purple,,,,Novica,,FALSE,
AVpe__JXilAPnD_xSt3F,Pedi Couture Women's Blue Snake Pedicure Spa Toe Separator Sandal Flip Flops (m),30,FALSE,,Foam,,,Pedi Couture,Pedi Couture,FALSE,
AVpe_0ob1cnluZ0-bnWr,"Sof Comfort Women's Everyday Gel Insoles, 2-pair",10,FALSE,"Multicolor,MULTI",,,,BEAUTIFEET,,FALSE,
AVpe_0PU1cnluZ0-bnM4,"Sneed- Women's/kids' Dance Shoes Latin Leatherette/paillette Flat Heel Blue/pink/silver/gold, Blue-us1 / Eu32 / Uk13 Little Kids , Blue-us1 / Eu32 / Uk13 Little Kids",70,FALSE,,,,,,SNEED,FALSE,
AVpe_-0YilAPnD_xStvJ,Marc Fisher Fawna Women  Cap Toe Leather  Oxford,89,FALSE,,Leather,,,Marc Fisher,Marc Fisher,TRUE,
AVpe_19KilAPnD_xSqnY,Caparros Karissa   Open Toe Canvas  Sandals,79,FALSE,Silver,Canvas,,,Caparros,Caparros,TRUE,
AVpe_1KTilAPnD_xSqVK,Inc International Concepts Britanii   Pointed Toe Suede  Heels,90,FALSE,,Suede,,,INC International Concepts,INC International Concepts,FALSE,
AVpfsM0a1cnluZ0-peym,Lugz Women's Zen LO by Lugz,78.95,FALSE,Grey,,,,Lugz,,TRUE,China
AVpe_1Qw1cnluZ0-bnlG,Women's Skechers BOBS Pureflex Supastar Flat Black by Skechers,50.95,FALSE,,,,,Skechers,,FALSE,United States
AVpe_1SHLJeJML430GHi,Dbdk Fashion Meira-4 Women  Open Toe Synthetic  Wedge Sandal,60,FALSE,,Synthetic,,,DbDk Fashion,DbDk Fashion,TRUE,
AVpe_22H1cnluZ0-boH3,Shoe Crepe Rubber For Nubuck & Suede Collonil Cleaner,8.99,FALSE,,,,,Collonil,Collonil,FALSE,
AVpe_2Gv1cnluZ0-bn35,Vince Camuto Parka   Round Toe Suede  Ankle Boot,159,FALSE,Brown,Suede,,,Vince Camuto,Vince Camuto,FALSE,
AVpe_34HilAPnD_xSrP8,Bloch Women Twist Dance Sneakers 6.5 X Us,63.5,FALSE,"White,Black,Silver",,New,,Bloch,Bloch,FALSE,
AVpe_3ai1cnluZ0-boTX,Michael Kors Fulton Riding Tall Boot Black Leather Knee High Boots Sz 11 $398,180,FALSE,Black,Leather,New with box,,Michael Kors,,FALSE,
AVpe_3d11cnluZ0-boUh,Nike Women's Kaishi Running Shoes,59.98,FALSE,,,,,Nike,,FALSE,
AVpe_4ijilAPnD_xSrfB,Women's Wild Diva Camila-64 Brown Faux Leather by Wild Diva,44.95,TRUE,Brown,,,,Wild Diva,,TRUE,United States
AVpe_4OLLJeJML430HJo,"Skechers Size 6 Plain Toe Athletic Style Work Shoes, Women's, Black, Ew, 76033ew-b Sz 6",57.6,FALSE,Black,,,,SKECHERS,Skechers,FALSE,
AVpe_5291cnluZ0-bpLy,Womens Halloween Sexy Black Patent Retro Boots,57,FALSE,,Polyurethane,New,Halloween,Pleaser Shoes,Pleaser Shoes,FALSE,
AVpe_54gilAPnD_xSr-B,Faded Glory Women's Fashion Slouch Boot,20.03,TRUE,"TAN,Grey",Fabric,,,Faded Glory,,FALSE,
AVpe_5gk1cnluZ0-bpDd,Corky's Stadium Stompers Women's Western Rain Boots Wellies Sz 6,29.99,FALSE,,,,,Corky's,Corky's,FALSE,
AVpe_5NuilAPnD_xSruY,"Jessica Simpson Apple Pumps Hi Heel Women's Shoes,black Color, Size:10m,new",49.99,FALSE,Black,all man made materials,New with box,"casual,special occassion,evening shoes",Jessica Simpson,,TRUE,
AVpe_61NilAPnD_xSsUl,Jbu By Jambu Cordoba   Round Toe Leather  Clogs,69,FALSE,Brown,Leather,,,JBU by Jambu,JBU by Jambu,TRUE,
AVpe_6BgLJeJML430HyZ,Style & Co Vern   Open Toe Synthetic  Wedge Sandal,19.99,FALSE,Beige,Synthetic,,,Style & Co.,Style & Co,FALSE,
AVpe_6FoLJeJML430Hzu,Caparros Savanna Women  Peep-toe Synthetic  Heels,79,FALSE,Silver,Synthetic,,,Caparros,Caparros,TRUE,
AVpe_6lhLJeJML430H_G,Asics Women's Gel-190 Tr Cross-training Shoes - Wide,79.99,FALSE,,,,,ASICS,,FALSE,
AVpe_6nr1cnluZ0-bpdo,Arizona Jean Company Collette Women  Round Toe Canvas Brown Mid Calf Boot,90,FALSE,Brown,Canvas,,,Arizona Jean Company,Arizona Jean Company,TRUE,
AVpe_765ilAPnD_xSstH,Ellen Tracy Faith   Peep-toe Leather  Heels,21.99,FALSE,Beige,Leather,,,Ellen Tracy,Ellen Tracy,FALSE,
AVpe_7BFilAPnD_xSsYU,Wanted Stampede Women Us 8 Brown Knee High Boot,105,FALSE,,Synthetic,,,WANTED,,TRUE,
AVpe_82S1cnluZ0-bqR7,"Sneed- Customized Latin Women's Sandals Customized Heel Dance Shoes With Rhinestone Buckle More Colors, Gold-us7.5 / Eu38 / Uk5.5 / Cn38 , Gold-us7.5 / Eu38 / Uk5.5 / Cn38",101,FALSE,,,,,,SNEED,FALSE,
AVpe_8C8ilAPnD_xSswn,Mia Girl Adrianna   Open Toe Synthetic  Sandals,59,FALSE,Beige,Synthetic,,,Mia Girl,Mia Girl,TRUE,
AVpe_8du1cnluZ0-bqHj,"Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia, Red-us5.5 / Eu36 / Uk3.5 / Cn35 , Red-us5.5 / Eu36 / Uk3.5 / Cn35",88,FALSE,,,,,,SNEED,FALSE,
AVpe_8Hg1cnluZ0-bp_0,Born Women's Tami Leather Ankle-high Leather Flat Shoe,71.76,FALSE,"Red,Tan,Gold",,,,Born,Born,FALSE,
AVpe_8RgilAPnD_xSs1m,Helly Hansen Boots Womens W Midsund 2 Rubber Outsole Print 11152,65,FALSE,,,,,Helly Hansen,Helly Hansen,FALSE,
AVpe_8S5ilAPnD_xSs2U,R.b.l.s. Abba   Open Toe Synthetic  Slides Sandal,30,FALSE,Black,Synthetic,,,r.b.l.s.,r.b.l.s.,TRUE,
AVpe_8sULJeJML430IxI,Mizuno Wave Rider 18 Women  Round Toe Synthetic Red Running Shoe,120,FALSE,,Synthetic,,,Mizuno,Mizuno,FALSE,
AVpe_8tuLJeJML430IyA,"Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia, Almond-us8 / Eu39 / Uk6 / Cn39 , Almond-us8 / Eu39 / Uk6 / Cn39",148,FALSE,,,,,,SNEED,FALSE,
AVpe_AngLJeJML43zz5S,Michael Kors Women's Olivia Perforated Espadrille Wedge Sandals,68.99,FALSE,"Black,Luggage",,,,Michael Kors,Michael Kors,TRUE,
AVpe_aob1cnluZ0-beQ9,Giani Bernini Aikko   Open Toe Suede  Sandals,89,FALSE,Brown,Suede,,fashion,Giani Bernini,Giani Bernini,TRUE,
AVpe_Auy1cnluZ0-bVf3,Personal Identity Women's Castro Black Slouch Bootie,39.99,FALSE,Black,,,Casual,Personal Identity,,TRUE,
AVpe_aXVilAPnD_xSg7n,Nature Breeze Rainforest-05h Women's Stylish Buckle Strap Winter Rain Boot Shoes,57.98,FALSE,BLACK,,,Casual,Nature Breeze,,TRUE,
AVpe_b4Y1cnluZ0-bes6,Yu&yu Women's Shoes Comfort Round Toe Flat Heel Flats Shoes More Colors Available,164.63,FALSE,"Black,Almond,Pink",,,,,Qianyuyu,FALSE,
AVpe_B5I1cnluZ0-bV6E,7/30/2016 10:27,90,FALSE,US,,New with box,,Iron Fist,,FALSE,
AVpe_BbLilAPnD_xSYfP,Lillian Rose Jelly Flip Women  Open Toe Synthetic Clear Flip Flop Sandal,14,FALSE,Clear,Synthetic,,wedding reception,Lillian Rose,Lillian Rose,FALSE,
AVpe_BdrilAPnD_xSYgF,Women's Dyeables Becky White Satin by Dyeables,51.96,FALSE,White,,,,Dyeables,,TRUE,United States
AVpe_bhuLJeJML43z9CI,Array Whistler Women  Round Toe Leather  Ankle Boot,132,FALSE,,Leather,,fashion,Array,Array,TRUE,
AVpe_-BILJeJML430JQV,"Sneed- Customized Shoes Women's Dance Shoes Sparkling Glitter Latin Salsa Shoe, Silver-us8 / Eu39 / Uk6 / Cn39 , Silver-us8 / Eu39 / Uk6 / Cn39",88,FALSE,,,,,,SNEED,FALSE,
AVpe_bO-1cnluZ0-befC,"Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia, Yellow-us9.5-10 / Eu41 / Uk7.5-8 / Cn42 , Yellow-us9.5-10 / Eu41 / Uk7.5-8 / Cn42",86,FALSE,,,,,,SNEED,FALSE,
AVpe_BynilAPnD_xSYoR,"Sneed- Non Customizable Women's Dance Shoes Latin Satin/paillette Stiletto Heel Black/blue/brown/pink/red/silver/gold/leopard, Fuchsia-us4-4.5 / Eu34 / Uk2-2.5 / Cn33 , Fuchsia-us4-4.5 / Eu34 / Uk2-2.5 / Cn33",53,FALSE,,,,,,SNEED,FALSE,
AVpe_BZ9LJeJML43z0Jn,Alfani Women's Maloree Open Toe Suede Slingback Sandal,24.93,FALSE,Ink,,,,Alfani,Alfani,FALSE,
AVpe_cEM1cnluZ0-bexk,Nocona Boots Women's Old West Tan L Toe Boot,209.99,FALSE,,,,,Nocona Boots,,FALSE,
AVpe_CHjilAPnD_xSYwf,Muk Luks Women's Felicity Boots,62,FALSE,"Cream,Navy,Vanilla",,,,MUK LUKS,Reliable of Milwaukee,FALSE,
AVpe_CLFLJeJML43z0bH,Baretraps Felicity   Round Toe Synthetic  Knee High Boot,100,FALSE,Brown,Synthetic,,,BareTraps,Baretraps,FALSE,
AVpe_CllLJeJML43z0lJ,Cap Toe Suede Sneaker (women),595,FALSE,,,,,Lanvin,,FALSE,
AVpe_clvLJeJML43z9ZL,Franco Sarto L-venezia Women Us 8m Black Peep Toe Flats,30,FALSE,Black,,New with box,,Franco Sarto,,TRUE,
AVpe_cNoLJeJML43z9RW,Dr. Weil By Orthaheel Rhythm White Blue Lace-up Sneakers,109.99,FALSE,WhiteBlue,Mesh,,,Dr. Weil,Dr. Weil,FALSE,
AVpe_cNxLJeJML43z9Rb,Annie Shoes Lantern  W Open-toe Canvas  Heels,60,FALSE,,Canvas,,,Annie Shoes,Annie Shoes,TRUE,
AVpe_CTdilAPnD_xSY0f,Famous Name Brand Amber Women Us 8 Black Gladiator Sandal,40,FALSE,,Synthetic,,,FAMOUS NAME BRAND,,TRUE,
AVpe_CxFilAPnD_xSY_X,Womens Michael Michael Kors Yvonne Caged Open Toe Dress Sandals - Dark Khaki,195,FALSE,,Suede,,,Michael Kors,Michael Kors,TRUE,
AVpe_do3LJeJML43z9wh,Yu&yu Women's Shoes Ballerina Flat Heel Flats Shoes More Colors Available,38.87,FALSE,"White,Red,Black,Beige",,,,,Qianyuyu,FALSE,
AVpe_DXuLJeJML43z03v,Skechers Women's Royal Forward Memory Foam Relaxed Fit Black Running Shoe,69.99,FALSE,Black,,,,Skechers,,FALSE,
AVpe_dzlLJeJML43z90K,Bcbgeneration Women's Frenchy Leather Ginger Ankle-high Leather Flat Shoe - 6m,55.56,FALSE,,,,,BCBGeneration,Bcbgeneration,FALSE,
AVpe_e0_LJeJML43z-LD,"Touch Ups Womens Irene Peep-toe Pump,ivory/silver Glitter,9.5 M Us",61.99,FALSE,,,,,Touch Ups,,FALSE,
AVpe_egfLJeJML43z-D1,Asics Gel-nimbus 16 Women's Us Sz 7 Iridescent Pink Capri Blue T485q 0235,159.99,FALSE,IRIDESCENTPINKCAPRI BLUE,MESH,New with box,,ASICS,,FALSE,
AVpe_eH-ilAPnD_xSiPe,Volatile Wild Foxy Women's Wedge Platform Sneakers Shoes Leather,80,FALSE,,,,,Volatile,,TRUE,
AVpe_EJ81cnluZ0-bWvg,Annie Shoes Lynn Womens X Wide Pumps Heels Shoes New/display,60,FALSE,Green,,,,Annie,,FALSE,
AVpe_eonilAPnD_xSiaY,Yu&yu Women's Shoes Pvc Flat Heel Comfort Open Toe Slippers Casual Blue/pink,36.87,FALSE,"Blue,Pink",,,,,Qianyuyu,FALSE,
AVpe_erFLJeJML43z-HQ,"Me Too Womens Lilyana Leather Ballet Flat Shoe, Pewter Metallic, Us 9",79,FALSE,,Leather,,,Me Too,,TRUE,
AVpe_FEFLJeJML43z1d0,Franco Sarto Padua   Round Toe Leather  Mid Calf Boot,140,FALSE,Black,Leather,,,Franco Sarto,Franco Sarto,TRUE,
AVpe_fH0LJeJML43z-SB,Sanita Prof Dream   Round Toe Patent Leather  Clogs,205,FALSE,Green,Leather,,,Sanita,Sanita,TRUE,
AVpe_FHVilAPnD_xSZ2_,Bc Footwear Fast Lane Women Us 7.5 Silver Gladiator Sandal,50,FALSE,,Synthetic,,,BC Footwear,,TRUE,
